Question,Category
"1. When I feel nervous, it is hard for me to breathe. ",PA/SO
"2. I get headaches when I am at school, at work or in public places. ",PA/SO
3. I don’t like to be with people I don’t know well. ,SOC
4. I get nervous if I sleep away from home. ,SEP
5. I worry about people liking me. ,GA
"6. When I get anxious, I feel like passing out. ",PA/SO
7. I am nervous. ,GA
8. It is hard for me to stop worrying. ,GA
9. People tell me that I look nervous. ,PA/SO
10. I feel nervous with people I don’t know well. ,SOC
"11. I get stomachaches at school, at work, or in public places. ",PA/SO
"12. When I get anxious, I feel like I'm going crazy. ",PA/SO
13. I worry about sleeping alone. ,SEP
14. I worry about being as good as other people. ,GA
"15. When I get anxious, I feel like things are not real. ",PA/SO
16. I have nightmares about something bad happening to my family. ,SEP
"17. I worry about going to work or school, or to public places. ",PA/SO
"18. When I get anxious, my heart beats fast. ",PA/SO
19. I get shaky. ,PA/SO
20. I have nightmares about something bad happening to me. ,SEP
21. I worry about things working out for me. ,GA
"22. When I get anxious, I sweat a lot. ",PA/SO
23. I am a worrier. ,GA
"24. When I worry a lot, I have trouble sleeping. ",GA
25. I get really frightened for no reason at all. ,PA/SO
26. I am afraid to be alone in the house. ,SEP
27. It is hard for me to talk with people I don't know well. ,SOC
"28. When I get anxious, I feel like I'm choking. ",PA/SO
29. People tell me that I worry too much. ,GA
30. I don't like to be away from my family. ,SEP
"31. When I worry a lot, I feel restless. ",GA
32. I am afraid of having anxiety (or panic) attacks. ,PA/SO
33.I worry that something bad might happen to my family. ,SEP
34. I feel shy with people I don't know well. ,SOC
35. I worry about what is going to happen in the future. ,GA
"36. When I get anxious, I feel like throwing up. ",PA/SO
37. I worry about how well I do things. ,GA
38. I am afraid to go outside or to crowded places by myself. ,PA/SO
39. I worry about things that have already happened.,GA
"40. When I get anxious, I feel dizzy.",PA/SO
"41. I feel nervous when I am with other people and I have to do something while they watch me (for example: speak, play a sport.)",SOC
"42. I feel nervous when I go to parties, dances, or any place where there will be people that I don't know well.",SOC
43. I am shy.,SOC
"44. When I worry a lot, I feel irritable.",GA
